ContractId	Age	Gender	Children	Profession	"Customer Type"	"Multiple cars"	"Driving Licence Years"	"Car category"	"Annual Kilometers"	Gearbox	Fuel	Claim	rr_Claim
2725	18	Man	4+	"Private Sector - Employee"	On-line	No	0	Estate	30374	Manual	Diesel		0.17260388653913411
2726	28	Man	1	Independant	Agency	Yes	9	Sport	19542	Manual	Diesel		0.39381608229510645
2727	48	Woman	4+	"Private Sector - Manager"	On-line	Yes	14	Sport	19672	Manual	Petrol		0.11341340181795795
2728	74	Woman	2	Government	On-line	No	20	Saloon	28859	Manual	Diesel		0.055201799066859521
2729	64	Man	2	Unemployed	Agency	Yes	7	Sport	29050	Automatic	Diesel		0.37382581357360767
2730	45	Woman	4+	Unemployed	Agency	No	4	Estate	12922	Automatic	Diesel		-0.012452776631745197
2731	64	Woman	0	"Private Sector - Manager"	Agency	No	12	Estate	15586	Automatic	Diesel		0.13843971283002438
2732	38	Woman	4+	Retired	Agency	No	19	Saloon	30379	Automatic	Diesel		0.11395162456152669
2733	56	Man	0	"Public Sector - Manager"	Agency	Yes	4	Saloon	25351	Automatic	Diesel		0.46841721055744179
2734	56	Woman	0	"Public Sector - Director"	On-line	No	21	Sport	23051	Manual	Petrol		0.19706371700655106
2735	40	Woman	0	"Public Sector - Manager"	On-line	No	10	Saloon	35793	Automatic	Petrol		0.27102802425859296
2736	36	Man	2	Government	Agency	No	12	Saloon	28163	Automatic	Diesel		0.26034866843646498
2737	71	Woman	4+	"Public Sector - Manager"	Agency	No	8	Estate	23499	Manual	Diesel		0.16239718538291056
2738	52	Woman	3	"Private Sector - Employee"	On-line	No	13	Sport	24731	Automatic	Petrol		0.053515933825480214
2740	64	Woman	1	Independant	Agency	No	20	Estate	30241	Automatic	Diesel		0.038910436128123588
2744	50	Woman	1	"Public Sector - Manager"	Agency	No	6	Estate	37257	Automatic	Diesel		0.14734565350924966
2745	29	Woman	4+	"Private Sector - Director"	Agency	No	11	Saloon	17138	Automatic	Diesel		0.077562287994572487
2747	49	Woman	2	"Public Sector - Director"	On-line	No	17	Sport	33887	Automatic	Diesel		0.135096413358927
2748	54	Man	2	Unemployed	Agency	Yes	19	Sport	25464	Manual	Diesel		0.37783991638684977
2749	75	Woman	4+	"Private Sector - Director"	Agency	No	15	Sport	27867	Manual	Diesel		0.33697996123029028
2750	72	Man	4+	Unemployed	On-line	No	11	Sport	23910	Manual	Diesel		0.36489800171286402
2751	72	Woman	4+	"Public Sector - Employee"	On-line	No	4	Saloon	25460	Automatic	Diesel		0.056628730766568866
2753	25	Woman	4+	Independant	Agency	No	5	Sport	41708	Automatic	Diesel		0.23566136589420827
2754	38	Woman	4+	Independant	Agency	Yes	20	Sport	46065	Automatic	Diesel		0.18791790802063663
2755	66	Woman	1	"Public Sector - Employee"	Agency	No	13	Saloon	35039	Manual	Petrol		-0.057590957053258243
2756	72	Woman	0	"Public Sector - Manager"	On-line	No	17	Saloon	9900	Automatic	Petrol		0.15959897607828549
2757	38	Man	1	"Private Sector - Employee"	Agency	No	20	Saloon	13830	Automatic	Diesel		0.096959203669649607
2759	45	Man	4+	"Private Sector - Manager"	Agency	No	4	Sport	34444	Manual	Petrol		0.26389376845137846
2760	22	Man	4+	Unemployed	Agency	Yes	4	Estate	19163	Automatic	Diesel		0.22991867517374723
2762	21	Man	2	Retired	Agency	Yes	3	Saloon	24209	Automatic	Diesel		0.25814620154952994
2763	75	Woman	1	"Private Sector - Manager"	On-line	No	6	Sport	29493	Manual	Petrol		0.23707009893926301
2764	84	Man	2	Independant	On-line	No	18	Sport	21405	Automatic	Petrol		0.43875948761147215
2765	24	Man	4+	Independant	On-line	No	6	Estate	51031	Automatic	Diesel		0.15227562910163711
2767	59	Woman	2	"Private Sector - Employee"	Agency	No	7	Estate	24989	Automatic	Diesel		-0.030582492242524892
2768	24	Man	3	"Private Sector - Director"	Agency	No	6	Saloon	22366	Automatic	Diesel		0.24677879684435125
2769	48	Man	0	"Public Sector - Manager"	Agency	No	4	Sport	11838	Automatic	Diesel		0.57544355607118847
2770	73	Woman	4+	"Private Sector - Director"	On-line	Yes	17	Saloon	24025	Automatic	Diesel		0.04847252362995437
2772	76	Man	2	"Public Sector - Manager"	Agency	No	6	Saloon	37781	Manual	Petrol		0.38282283226973146
2774	46	Man	2	"Public Sector - Director"	Agency	No	21	Saloon	35801	Manual	Petrol		-0.0065181935726841
2775	68	Woman	4+	Student	On-line	Yes	14	Estate	26280	Manual	Diesel		0.047901079970455424
2776	71	Man	4+	"Public Sector - Employee"	On-line	No	9	Estate	30757	Automatic	Petrol		0.093514886152362364
2779	45	Woman	0	"Public Sector - Manager"	Agency	No	16	Sport	27152	Automatic	Diesel		0.51399356668177321
2780	50	Man	1	Unemployed	Agency	Yes	11	Saloon	39821	Manual	Petrol		0.06172373521228755
2781	48	Woman	1	Student	Agency	No	12	Sport	23285	Automatic	Diesel		0.21373227812285786
2782	46	Man	4+	"Public Sector - Manager"	On-line	Yes	13	Estate	20288	Manual	Diesel		0.28724647902701583
2783	18	Woman	0	"Private Sector - Employee"	Agency	No	0	Estate	35878	Automatic	Petrol		0.075315098372638153
2784	69	Man	2	Independant	Agency	No	15	Saloon	26237	Manual	Petrol		0.091184603629386879
2785	44	Woman	2	Independant	Agency	No	7	Saloon	40677	Automatic	Petrol		-0.096619471258153733
2787	61	Man	4+	"Public Sector - Employee"	Agency	Yes	6	Estate	38173	Automatic	Diesel		0.16205317884694906
2788	60	Woman	2	Student	Agency	Yes	11	Sport	13866	Automatic	Diesel		0.15026061663308798
2789	43	Man	4+	Independant	On-line	Yes	19	Saloon	26463	Automatic	Diesel		0.16678919605405568
2790	40	Man	2	"Private Sector - Manager"	On-line	Yes	15	Estate	23529	Automatic	Petrol		0.15215358205352736
2791	50	Man	1	"Public Sector - Employee"	Agency	No	20	Saloon	19502	Manual	Petrol		0.072880980319358371
2792	22	Man	4+	Independant	On-line	No	4	Estate	32796	Manual	Diesel		0.23666369451384889
2793	52	Man	1	Independant	Agency	Yes	4	Saloon	40044	Automatic	Diesel		0.14049827239070595
2794	46	Woman	2	Retired	Agency	No	16	Saloon	20674	Automatic	Petrol		-0.059960334313514572
2795	38	Woman	2	"Private Sector - Manager"	On-line	No	15	Saloon	17774	Manual	Diesel		0.077456918581005244
2796	53	Man	4+	"Private Sector - Manager"	Agency	Yes	18	Saloon	21824	Automatic	Diesel		0.1795730923344474
2797	74	Woman	4+	"Public Sector - Manager"	Agency	No	5	Estate	18243	Automatic	Diesel		0.13268428184629127
2799	39	Woman	4+	"Private Sector - Manager"	Agency	Yes	18	Estate	13945	Automatic	Diesel		0.045921895264577836
2800	50	Man	4+	Retired	Agency	No	16	Estate	22203	Automatic	Diesel		0.18239181718306971
2801	51	Woman	0	"Private Sector - Director"	Agency	No	16	Sport	27096	Automatic	Petrol		0.3041330010641945
2802	21	Man	4+	Independant	On-line	No	3	Estate	26477	Automatic	Diesel		0.25643189247747755
2803	53	Woman	3	Government	On-line	No	19	Estate	24799	Automatic	Diesel		0.057598955876084608
2804	56	Man	0	"Public Sector - Director"	Agency	No	21	Saloon	29278	Automatic	Diesel		0.26260186708202526
2805	19	Woman	4+	Government	Agency	Yes	1	Estate	25875	Automatic	Diesel		0.12975639173613951
2806	31	Woman	3	"Public Sector - Employee"	Agency	No	13	Estate	14898	Automatic	Diesel		0.048901909600604955
2807	31	Man	1	Independant	On-line	No	13	Estate	25546	Automatic	Diesel		0.2472839152149969
2808	42	Woman	2	Student	On-line	Yes	18	Sport	35122	Automatic	Diesel		0.13567300368290361
2810	43	Man	4+	"Public Sector - Director"	Agency	No	18	Saloon	24539	Manual	Diesel		0.082628753387632176
2811	46	Man	0	Independant	On-line	No	10	Estate	30804	Automatic	Petrol		0.23710104419344047
2812	69	Man	4+	"Private Sector - Manager"	On-line	No	4	Sport	37172	Automatic	Petrol		0.24902391912034594
2813	24	Woman	3	Student	Agency	Yes	6	Saloon	45160	Automatic	Diesel		0.015320034022329149
2814	31	Woman	2	Student	Agency	No	12	Estate	30082	Manual	Diesel		0.10350716133792451
2815	52	Woman	4+	"Private Sector - Manager"	On-line	No	15	Estate	13803	Automatic	Diesel		-0.011996620612856529
2816	49	Man	4+	Retired	On-line	No	6	Estate	32501	Automatic	Diesel		0.18732323391722994
2818	25	Woman	2	Retired	Agency	No	5	Estate	25622	Automatic	Petrol		0.031336640904386565
2820	50	Man	0	Retired	On-line	No	7	Estate	22991	Automatic	Diesel		0.34052101027883197
2823	25	Man	4+	"Public Sector - Employee"	On-line	Yes	7	Estate	19983	Automatic	Diesel		0.23323636332198994
2824	23	Man	4+	"Private Sector - Employee"	On-line	Yes	5	Sport	26935	Automatic	Diesel		0.36023001954698231
2825	55	Woman	1	"Private Sector - Director"	Agency	Yes	16	Estate	27386	Automatic	Diesel		0.064612659773299899
2826	23	Man	0	Government	Agency	No	5	Estate	24098	Manual	Diesel		0.41051506911922531
2827	35	Woman	0	"Public Sector - Employee"	Agency	No	17	Saloon	25838	Automatic	Petrol		0.18229755945429543
2828	19	Man	2	"Private Sector - Director"	Agency	No	1	Saloon	29558	Automatic	Diesel		0.26263082652247755
2829	20	Man	3	"Public Sector - Director"	Agency	No	2	Saloon	14145	Automatic	Diesel		0.10410796561773
2830	28	Man	4+	"Private Sector - Employee"	On-line	Yes	10	Saloon	42245	Automatic	Diesel		0.11811704293277442
2831	63	Man	4+	"Public Sector - Director"	On-line	Yes	5	Saloon	14698	Automatic	Petrol		-0.058893922800593496
2832	55	Woman	2	Unemployed	Agency	No	22	Estate	22013	Automatic	Diesel		0.041749758951592851
2835	20	Man	2	"Public Sector - Manager"	Agency	No	2	Saloon	17737	Automatic	Diesel		0.33919726937594163
2836	36	Man	4+	"Private Sector - Employee"	Agency	No	14	Estate	24930	Automatic	Petrol		0.073713242612252594
2837	38	Woman	1	"Private Sector - Manager"	Agency	Yes	7	Estate	23878	Automatic	Diesel		0.11111737925591472
2838	52	Man	0	Independant	Agency	Yes	9	Estate	25921	Manual	Petrol		0.24735528024459535
2839	69	Man	2	Independant	Agency	No	14	Saloon	31457	Automatic	Diesel		0.17211677620602037
2840	42	Woman	0	Student	Agency	No	21	Saloon	42749	Manual	Diesel		0.073440282276641136
2841	83	Woman	4+	"Private Sector - Director"	On-line	No	9	Saloon	41343	Automatic	Diesel		0.20178603711501111
2842	18	Woman	2	"Private Sector - Manager"	Agency	No	0	Saloon	27806	Automatic	Diesel		0.13035635362569126
2843	31	Man	2	Unemployed	Agency	No	7	Sport	13563	Automatic	Diesel		0.36604248069715983
2844	54	Woman	1	Independant	Agency	Yes	17	Saloon	27544	Automatic	Diesel		0.050120002088402657
2845	42	Man	1	Independant	Agency	No	4	Estate	18934	Automatic	Diesel		0.08095937226109351
2846	41	Man	4+	Government	Agency	No	20	Estate	38167	Automatic	Diesel		0.16911982419014759
2847	22	Woman	4+	"Public Sector - Director"	Agency	No	4	Sport	28724	Automatic	Diesel		0.21642732901191478
2848	51	Man	2	Independant	Agency	No	10	Estate	21765	Automatic	Diesel		0.16551238132862794
2849	49	Man	1	"Public Sector - Manager"	Agency	No	22	Sport	50765	Automatic	Petrol		0.30300232974140551
2850	46	Woman	0	"Public Sector - Employee"	Agency	No	10	Saloon	19840	Automatic	Diesel		0.18384054566272939
2851	26	Woman	2	"Public Sector - Manager"	Agency	Yes	8	Estate	24812	Automatic	Diesel		0.23742416014137049
2852	41	Man	4+	"Private Sector - Manager"	Agency	Yes	17	Estate	15725	Automatic	Diesel		0.13076682137953072
2853	20	Man	1	Independant	Agency	Yes	2	Sport	23966	Automatic	Petrol		0.32680719067487535
2854	43	Woman	4+	Independant	On-line	No	16	Sport	24055	Automatic	Diesel		0.19356753086691761
2855	38	Man	2	"Public Sector - Director"	Agency	Yes	20	Estate	37129	Automatic	Petrol		0.045517832334824496
2856	51	Man	1	Student	Agency	Yes	8	Saloon	24597	Automatic	Petrol		0.086513230066861957
2857	72	Man	2	Independant	On-line	Yes	7	Estate	33144	Manual	Diesel		0.16589578095489033
2858	75	Man	2	"Public Sector - Manager"	On-line	Yes	21	Saloon	16064	Automatic	Diesel		0.33694168061425878
2859	50	Man	0	Government	On-line	No	9	Sport	25774	Automatic	Diesel		0.53430482523801714
2860	49	Woman	4+	Student	On-line	Yes	6	Sport	30397	Automatic	Petrol		0.12539295968761482
2861	47	Woman	0	"Private Sector - Employee"	Agency	No	7	Estate	15206	Manual	Diesel		0.053467493311316554
2862	73	Man	1	"Private Sector - Manager"	Agency	Yes	19	Sport	32762	Automatic	Petrol		0.26493849150317689
2863	26	Woman	2	"Private Sector - Manager"	Agency	Yes	8	Sport	43676	Automatic	Petrol		0.11291918503694764
2866	22	Woman	4+	"Private Sector - Employee"	Agency	Yes	4	Sport	28068	Automatic	Diesel		0.21856302818466611
2867	83	Woman	0	"Private Sector - Manager"	Agency	No	12	Estate	39418	Automatic	Diesel		0.36536449616828959
2868	85	Woman	1	Retired	On-line	No	22	Saloon	27100	Automatic	Petrol		0.16290935752932079
2869	47	Woman	1	Independant	Agency	No	21	Sport	23160	Manual	Diesel		0.21281182942864904
2870	59	Woman	4+	Government	Agency	No	17	Sport	21913	Automatic	Diesel		0.21866364971363453
2871	53	Woman	1	"Private Sector - Director"	Agency	No	18	Sport	26021	Automatic	Diesel		0.24277464843790189
2873	31	Woman	2	"Public Sector - Director"	On-line	No	13	Estate	32981	Automatic	Diesel		0.0205185043431938
2874	37	Man	4+	"Public Sector - Manager"	Agency	Yes	12	Saloon	28134	Automatic	Diesel		0.37638114661900945
2875	43	Man	1	"Public Sector - Manager"	Agency	No	22	Sport	15139	Manual	Petrol		0.30183194433099686
2876	65	Man	1	Unemployed	Agency	No	9	Sport	19649	Automatic	Petrol		0.24848493228049956
2877	67	Man	4+	Independant	On-line	No	17	Saloon	24084	Manual	Petrol		0.079797723346575589
2878	69	Woman	2	Government	Agency	No	15	Sport	16458	Manual	Petrol		0.067050650443026452
2879	44	Man	2	Retired	Agency	No	20	Estate	25336	Manual	Diesel		0.19828189841242241
2881	42	Man	2	Unemployed	On-line	No	8	Estate	21310	Manual	Diesel		0.10828298332762154
2882	46	Man	0	"Public Sector - Director"	On-line	Yes	15	Saloon	26070	Manual	Diesel		0.26880384618215325
2883	28	Man	0	"Public Sector - Manager"	On-line	No	10	Saloon	37929	Automatic	Diesel		0.49797246525311301
2884	38	Man	1	Student	Agency	No	10	Saloon	23736	Automatic	Petrol		0.13987670145679931
2885	70	Man	2	"Private Sector - Employee"	On-line	Yes	15	Saloon	37047	Automatic	Diesel		0.077824500116924863
2886	53	Woman	0	"Private Sector - Manager"	Agency	No	15	Saloon	22622	Automatic	Diesel		0.19937767945987003
2887	42	Woman	4+	Retired	On-line	No	11	Saloon	33103	Manual	Petrol		-0.11658586006380579
2888	66	Man	4+	Government	On-line	No	19	Sport	20389	Manual	Petrol		0.25232274578083258
2889	21	Woman	1	"Public Sector - Employee"	Agency	Yes	3	Estate	17098	Automatic	Diesel		0.080552896289211473
2890	62	Man	2	Independant	Agency	No	18	Estate	43199	Manual	Diesel		0.087772427244995246
2891	18	Woman	2	Independant	Agency	No	0	Estate	32540	Automatic	Diesel		0.10072298119290779
2894	70	Woman	4+	"Public Sector - Director"	Agency	Yes	18	Estate	23441	Manual	Petrol		-0.1364071379314703
2895	19	Woman	1	"Public Sector - Employee"	On-line	No	1	Saloon	26017	Automatic	Petrol		0.035923256330286604
2896	40	Woman	2	Student	Agency	No	19	Saloon	13416	Manual	Diesel		0.031427641272310569
2897	25	Man	1	"Private Sector - Director"	Agency	Yes	7	Estate	23555	Automatic	Petrol		0.15831793632290955
2898	52	Man	4+	"Public Sector - Director"	Agency	No	11	Saloon	30379	Manual	Diesel		0.10620527840608796
2899	19	Man	2	Student	Agency	No	1	Estate	25033	Automatic	Petrol		0.15465556936421335
2900	39	Man	4+	"Private Sector - Manager"	On-line	Yes	17	Sport	14762	Manual	Diesel		0.36254044569844279
2901	44	Man	2	Retired	Agency	No	11	Estate	37443	Automatic	Diesel		0.16705272265224935
2902	36	Man	4+	"Public Sector - Director"	Agency	No	13	Estate	23567	Automatic	Petrol		0.066196989679765436
2904	48	Woman	3	Government	Agency	Yes	20	Estate	23426	Automatic	Diesel		0.050294015981486806
2905	40	Man	1	"Public Sector - Manager"	Agency	No	10	Estate	31093	Manual	Diesel		0.36554351537455576
2906	74	Man	2	Independant	Agency	No	22	Estate	22909	Manual	Diesel		0.16623401292494142
2907	60	Man	3	Student	Agency	Yes	16	Saloon	18659	Automatic	Petrol		0.051581978243760346
2908	51	Woman	0	"Private Sector - Employee"	On-line	Yes	3	Saloon	21910	Automatic	Diesel		0.10816544543340201
2910	45	Man	2	Unemployed	Agency	No	6	Estate	17832	Manual	Diesel		0.15713228575524127
2911	60	Man	0	Unemployed	Agency	Yes	6	Sport	38314	Automatic	Diesel		0.49379941691322582
2912	57	Man	1	"Private Sector - Manager"	Agency	Yes	9	Saloon	21377	Automatic	Petrol		0.081520277945776418
2913	69	Man	2	Government	Agency	No	7	Sport	29716	Automatic	Petrol		0.27582681089435623
2914	74	Woman	1	Retired	On-line	Yes	5	Sport	22368	Manual	Petrol		0.12291288894576446
2915	52	Woman	4+	"Public Sector - Director"	Agency	No	12	Estate	32517	Automatic	Diesel		-0.039135028632059324
2916	54	Woman	2	"Public Sector - Employee"	Agency	Yes	20	Saloon	8200	Automatic	Petrol		-0.10573948963714894
2918	24	Man	1	"Private Sector - Manager"	Agency	Yes	6	Estate	23931	Automatic	Diesel		0.25540897721070666
2920	27	Woman	4+	Independant	On-line	Yes	9	Saloon	28410	Manual	Diesel		0.11055618370951108
2921	38	Man	4+	Independant	On-line	No	11	Estate	17329	Manual	Diesel		0.19916154293599625
2922	48	Man	4+	Independant	Agency	No	15	Estate	25032	Automatic	Diesel		0.18330886393481324
2923	75	Man	2	Retired	On-line	No	19	Sport	11867	Automatic	Petrol		0.30544109303242289
2924	52	Woman	2	"Private Sector - Employee"	Agency	No	5	Sport	19404	Manual	Diesel		0.11875642693129944
2925	31	Man	4+	"Public Sector - Employee"	Agency	No	13	Sport	21134	Automatic	Diesel		0.41561213594589386
2926	58	Man	4+	"Private Sector - Manager"	On-line	No	21	Saloon	41187	Automatic	Diesel		0.14744623157762865
2927	21	Man	4+	"Private Sector - Employee"	Agency	No	3	Saloon	21167	Automatic	Diesel		0.15359937906314391
2928	46	Woman	2	Independant	Agency	No	5	Estate	18074	Automatic	Diesel		0.0060970016615667783
2930	20	Man	0	Unemployed	On-line	No	2	Saloon	29682	Automatic	Diesel		0.4156095019957663
2931	57	Man	4+	Unemployed	Agency	Yes	14	Saloon	19119	Automatic	Diesel		0.16368474775724723
2932	51	Woman	0	Independant	Agency	Yes	17	Estate	27505	Automatic	Petrol		0.11014328419610953
2933	22	Man	4+	"Public Sector - Manager"	Agency	Yes	4	Estate	51120	Automatic	Diesel		0.2836174775913235
2934	74	Woman	1	"Public Sector - Employee"	Agency	Yes	4	Saloon	14737	Automatic	Diesel		-0.017567222114609093
2935	57	Woman	2	Independant	On-line	No	5	Saloon	26277	Automatic	Diesel		0.050556554879592847
2936	54	Man	2	Unemployed	On-line	Yes	19	Estate	26509	Automatic	Diesel		0.20516557774869229
2937	50	Woman	1	Retired	Agency	No	8	Saloon	25581	Automatic	Diesel		0.062640021100196522
2938	55	Man	3	Independant	Agency	No	17	Saloon	20841	Manual	Diesel		0.15944534744310759
2941	44	Man	0	Unemployed	Agency	Yes	22	Saloon	40115	Automatic	Diesel		0.30724096308553117
2942	63	Man	1	"Private Sector - Director"	Agency	No	8	Sport	25404	Manual	Diesel		0.3753228499908644
2943	79	Woman	4+	Independant	Agency	Yes	3	Saloon	19255	Automatic	Diesel		0.2067097811469788
2945	20	Man	2	Retired	On-line	No	2	Saloon	18308	Manual	Petrol		0.13139038799389097
2946	24	Woman	1	"Private Sector - Manager"	Agency	Yes	6	Saloon	37912	Automatic	Diesel		0.091161570521601121
2947	41	Man	1	Unemployed	On-line	Yes	19	Sport	44740	Automatic	Petrol		0.19271961413175226
2948	48	Man	2	Government	On-line	No	15	Sport	47637	Automatic	Diesel		0.28180669626115507
2950	62	Man	2	"Public Sector - Director"	On-line	No	17	Saloon	22993	Manual	Diesel		0.096061599838468403
2951	54	Man	1	"Private Sector - Employee"	Agency	No	21	Saloon	23243	Automatic	Diesel		0.0993835089990069
2952	51	Woman	1	Unemployed	On-line	Yes	20	Sport	28398	Automatic	Petrol		0.14611038590329356
2953	75	Woman	0	"Public Sector - Manager"	Agency	Yes	7	Sport	32501	Automatic	Diesel		0.59201656653908385
2954	70	Woman	4+	Unemployed	Agency	No	15	Estate	21319	Automatic	Petrol		-0.060337153407933684
2955	26	Man	4+	"Private Sector - Manager"	Agency	No	6	Saloon	25096	Automatic	Diesel		0.26103056368218458
2956	46	Man	4+	"Private Sector - Employee"	Agency	No	17	Saloon	15932	Automatic	Diesel		0.037656224634287694
2957	26	Woman	1	"Public Sector - Manager"	Agency	No	7	Sport	29820	Manual	Petrol		0.32074856161104848
2958	75	Man	4+	"Private Sector - Employee"	Agency	No	19	Estate	16071	Automatic	Diesel		0.13282878237015103
2959	52	Woman	1	"Private Sector - Manager"	Agency	Yes	17	Estate	23244	Manual	Diesel		0.049266831194550491
2961	83	Man	4+	Student	On-line	No	18	Saloon	28670	Manual	Diesel		0.37737556803212868
2962	47	Woman	2	"Private Sector - Employee"	Agency	No	8	Sport	44566	Automatic	Diesel		0.056169017906422709
2963	41	Woman	2	"Private Sector - Director"	On-line	No	10	Sport	30214	Automatic	Diesel		0.23942134764406001
2964	21	Woman	3	"Public Sector - Manager"	Agency	Yes	3	Sport	14898	Automatic	Diesel		0.34769234076749256
2965	41	Man	3	"Public Sector - Director"	On-line	No	11	Saloon	27041	Automatic	Petrol		0.027306327617011864
2967	32	Woman	4+	Unemployed	Agency	No	14	Sport	20240	Manual	Petrol		0.17728483718140847
2968	54	Woman	2	Retired	Agency	No	10	Sport	27552	Manual	Petrol		0.14813592419572924
2969	55	Woman	2	Independant	On-line	Yes	15	Saloon	36249	Automatic	Diesel		0.020699312739856125
2970	26	Woman	0	"Private Sector - Employee"	Agency	Yes	6	Estate	17369	Automatic	Diesel		0.14605236733161955
2971	43	Man	2	Student	Agency	No	22	Sport	26894	Automatic	Petrol		0.25053517048797413
2972	21	Man	2	"Public Sector - Manager"	On-line	No	3	Sport	18776	Manual	Diesel		0.52296241135851695
2973	18	Woman	4+	Government	Agency	Yes	0	Sport	25216	Automatic	Petrol		0.21034452957474514
2974	36	Woman	0	Unemployed	Agency	No	18	Estate	24817	Automatic	Diesel		0.27088205767708318
2976	70	Man	1	Independant	On-line	Yes	17	Estate	16431	Automatic	Petrol		0.012535879565133391
2977	55	Woman	4+	Independant	Agency	Yes	22	Estate	12453	Automatic	Petrol		-0.12123524790531391
2978	57	Woman	2	"Private Sector - Employee"	On-line	Yes	8	Estate	27993	Automatic	Diesel		-0.025621071685396707
2979	31	Man	4+	"Public Sector - Employee"	Agency	No	8	Sport	32055	Automatic	Diesel		0.42812169704166281
2980	58	Man	2	"Private Sector - Manager"	Agency	No	12	Sport	30080	Automatic	Diesel		0.37192996999538475
2981	50	Man	2	Independant	Agency	Yes	5	Estate	21563	Automatic	Diesel		0.16464136465711227
2982	73	Woman	0	Unemployed	On-line	No	7	Sport	30107	Automatic	Diesel		0.38360242861997784
2983	68	Woman	2	"Private Sector - Director"	Agency	No	19	Sport	25887	Manual	Diesel		0.23839204504153275
2984	43	Woman	1	Retired	On-line	Yes	17	Estate	17963	Automatic	Petrol		-0.098858754754118316
2985	32	Man	2	"Private Sector - Director"	Agency	Yes	13	Saloon	24333	Automatic	Diesel		0.25441461510943547
2986	71	Woman	0	Student	Agency	No	14	Estate	20089	Automatic	Diesel		0.16681589938823715
2987	24	Man	1	"Private Sector - Manager"	On-line	No	6	Sport	14228	Automatic	Petrol		0.27407476473154047
2988	68	Woman	4+	Student	Agency	No	20	Sport	14147	Automatic	Diesel		0.14824916705554272
2990	36	Man	1	Student	Agency	No	12	Sport	27584	Automatic	Diesel		0.42644948895571666
2991	56	Man	2	"Private Sector - Employee"	Agency	Yes	21	Saloon	17634	Manual	Diesel		0.06796690046159419
2992	37	Woman	2	Retired	Agency	No	8	Sport	18994	Automatic	Petrol		0.16840678735148421
2993	21	Man	1	Unemployed	Agency	No	3	Sport	34087	Manual	Diesel		0.42552022360914854
2994	31	Man	4+	Independant	Agency	No	12	Estate	37604	Automatic	Diesel		0.21407750417568899
2995	18	Woman	0	Student	On-line	Yes	0	Saloon	15029	Manual	Diesel		0.19365090851259045
2996	65	Woman	2	Retired	Agency	Yes	18	Estate	22214	Automatic	Diesel		0.040429064269688716
2997	43	Man	0	"Private Sector - Director"	On-line	No	17	Saloon	30963	Manual	Diesel		0.3214721364287022
2998	57	Man	0	Student	Agency	Yes	8	Estate	40256	Manual	Diesel		0.29198880430376123
2999	34	Woman	2	"Public Sector - Employee"	Agency	Yes	7	Saloon	21727	Automatic	Diesel		0.10086130042514901
3000	84	Man	2	"Public Sector - Manager"	Agency	No	17	Sport	32934	Manual	Diesel		0.67208974858538506
3001	88	Man	4+	Unemployed	On-line	Yes	4	Sport	25051	Automatic	Diesel		0.56609710314417994
3002	57	Woman	2	"Private Sector - Manager"	Agency	No	4	Sport	43593	Manual	Diesel		0.14316981627303862
3003	80	Man	4+	"Public Sector - Employee"	On-line	Yes	11	Sport	20641	Automatic	Diesel		0.54498938031998634
3004	39	Woman	2	"Private Sector - Director"	Agency	No	17	Estate	24961	Manual	Diesel		0.11668817586121336
3005	72	Woman	1	"Public Sector - Employee"	On-line	No	22	Estate	21542	Automatic	Diesel		0.03502295014332258
3006	20	Woman	1	"Private Sector - Employee"	Agency	No	2	Saloon	36344	Automatic	Diesel		0.0129736442786893
3007	43	Woman	4+	"Public Sector - Employee"	Agency	Yes	11	Sport	24153	Manual	Diesel		0.20832912859507016
3008	78	Woman	2	Retired	On-line	No	15	Estate	31465	Manual	Petrol		0.15150828285561868
3010	52	Woman	4+	Student	On-line	Yes	9	Saloon	19021	Automatic	Petrol		-0.082858240356859764
3011	77	Woman	1	Unemployed	On-line	Yes	14	Sport	19686	Manual	Petrol		0.30793129152069876
3012	57	Woman	2	"Private Sector - Manager"	On-line	Yes	13	Saloon	27040	Manual	Diesel		0.065253289336661816
3013	52	Woman	4+	Government	On-line	Yes	8	Estate	25914	Automatic	Petrol		-0.030625667811208859
3014	66	Man	4+	"Private Sector - Employee"	Agency	No	7	Saloon	22058	Automatic	Diesel		0.089933906538232453
3015	62	Woman	3	"Public Sector - Manager"	Agency	No	13	Sport	66948	Automatic	Diesel		0.252629394488183
3016	27	Man	1	Government	Agency	No	9	Sport	33452	Automatic	Diesel		0.4251791633748746
3017	42	Man	0	Government	Agency	No	10	Estate	16366	Automatic	Diesel		0.21084661388401796
3018	76	Man	2	Retired	On-line	No	21	Saloon	27288	Manual	Diesel		0.39890582808083974
3020	28	Woman	0	Student	On-line	No	4	Estate	29926	Automatic	Petrol		0.16438681641376018
3021	48	Man	2	"Public Sector - Employee"	On-line	No	17	Estate	22651	Automatic	Diesel		0.18440003538296901
3022	37	Man	0	Student	Agency	No	13	Saloon	14836	Manual	Diesel		0.32445090485105332
3023	28	Woman	3	Student	Agency	No	9	Estate	36802	Automatic	Diesel		0.080982643868053872
3024	56	Woman	0	Independant	Agency	Yes	15	Saloon	25984	Automatic	Diesel		0.20296749261883854
3025	18	Man	1	"Public Sector - Director"	On-line	No	0	Sport	45065	Automatic	Petrol		0.16640145064376383
3026	18	Man	2	Government	Agency	No	0	Estate	40446	Automatic	Diesel		0.21905634412281413
